datetime,open,high,low,close,volume
2020-09-21,5.4657550977530285,5.669448019940229,5.43615878604299,5.620700836181641,13442000
2020-09-22,5.631145954396353,5.7147123663047035,5.548450376167458,5.62679386138916,10949000
2020-09-23,5.621571362574215,5.661613526834213,5.516242817301018,5.524077415466309,12855000
2020-09-24,5.527558921307018,5.813947408131613,5.5188543198179545,5.700784683227539,23544000
2020-09-25,5.658130935691403,5.701655185843311,5.463143058754397,5.5606369972229,23973000
2020-09-28,5.614607176169614,5.6154780099142805,5.362167499416441,5.400468826293945,7993000
2020-09-29,5.4544381683647485,5.458790676495825,5.290787847385285,5.395245552062988,12911000
2020-09-30,5.3961159368901255,5.452697297005813,5.315161195517838,5.397857189178467,11048000
2020-10-01,5.389151825670826,5.4466036006892375,5.235076535379995,5.39698600769043,15172000
2020-10-02,5.349980191476749,5.4396399450560775,5.325606811307688,5.362166881561279,10747000
2020-10-05,5.379576940616601,5.494480502382658,5.309938468646631,5.444863319396973,7840000
2020-10-06,5.4492159081955815,5.562378219280129,5.424842110583457,5.478812217712402,8128000
2020-10-07,5.497962653873296,5.528429381933449,5.408302891910224,5.449215888977051,11970000
2020-10-08,5.473589258175619,5.658131293541333,5.468366331223944,5.632016658782959,14497000
2020-10-09,5.6433325896611155,5.762588653527694,5.604161262512206,5.604161262512207,14706000
2020-10-13,5.593715694279237,5.685986711077461,5.548450604517386,5.609384059906006,11257000
2020-10-14,5.6354984114136455,5.806983326683573,5.595456250564212,5.76868200302124,8253000
2020-10-15,5.698173277483005,5.858341925419623,5.6929503506956785,5.8365797996521,8335000
2020-10-16,5.827004517904226,5.860082916734346,5.695562171380923,5.700784683227539,10600000
2020-10-19,5.6807637369737165,5.715582972643048,5.556284741162938,5.564119338989258,14034000
2020-10-20,5.589362968839667,5.643332657955165,5.500573630040405,5.59458589553833,14271000
2020-10-21,5.605902776646537,5.671188744856428,5.587622738754012,5.651167869567871,18253000
2020-10-22,5.665094746002727,5.812206281042788,5.634628019693075,5.779998302459717,24733000
2020-10-23,5.784350783164812,5.848766324948238,5.751272386140507,5.76432991027832,13354000
2020-10-26,5.782609914563991,5.966281519309037,5.750401936308238,5.851377964019775,14260000
2020-10-27,5.867046589309693,5.910570841309355,5.72776964703562,5.760848045349121,11504000
2020-10-28,5.685116195935012,5.731251703550972,5.557155111634991,5.607643127441406,14623000
2020-10-29,5.578047275543213,5.59806856581157,5.405691921840063,5.578047275543213,11863000
2020-10-30,5.5580260737522345,5.5745648581176415,5.325607277979466,5.376095294952393,22526000
2020-11-03,5.48229369407017,5.679022829764598,5.457049893798145,5.658131122589111,27834000
2020-11-04,5.70165560496284,5.880974715217256,5.66944762427663,5.716453552246094,17997000
2020-11-05,5.803501483698281,5.860953264092674,5.724287992306885,5.790444374084473,13502000
2020-11-06,5.749531573366772,5.958446979522705,5.733862793381673,5.958446979522705,16358000
2020-11-09,6.075962140579135,6.156916880336229,5.964540674859159,6.048106670379639,18832000
2020-11-10,6.050718730028649,6.136896401928136,5.8931613333290995,6.032438278198242,19267000
2020-11-11,6.027215310775434,6.053329945302015,5.72689929664894,5.746920585632324,23278000
2020-11-12,5.736474903009709,5.871399342702366,5.658131412170071,5.720806121826172,17029000
2020-11-13,5.7521430395327355,5.979338904852899,5.732122165829005,5.968893051147461,17579000
2020-11-16,6.00719461775666,6.083796856211195,5.982821234849951,6.07073974609375,8851000
2020-11-17,6.026344591794453,6.082055532622595,5.924498559911711,6.00893497467041,10114000
2020-11-18,6.0185107249416445,6.093372124008126,5.9314626347571355,5.941037654876709,14730000
2020-11-19,5.946260295491458,6.018510435158776,5.913182313368627,5.94016695022583,11489000
